Player,Shots Faced,Goals Conceded,Saves,Header%,xG,G-xG,G/xG
Matt Turner,116,27,87,12.07%,36.15,-9.15,0.75
Steve Clark,109,24,84,15.60%,31.92,-7.92,0.75
Tyler Miller,103,26,72,15.53%,30.28,-4.28,0.86
Bill Hamid,168,36,126,15.48%,40.23,-4.23,0.90
Stefan Frei,165,47,116,13.33%,50.80,-3.80,0.93
Zac MacMath,52,11,37,11.54%,13.32,-2.32,0.83
Andrew Putna,19,6,12,26.32%,8.12,-2.12,0.74
Carlos Miguel Coronel,11,2,9,0.00%,3.77,-1.77,0.53
David Bingham,195,52,141,8.21%,53.61,-1.61,0.97
Clint Irwin,58,15,42,12.07%,16.55,-1.55,0.91
Adrián Zendejas,4,1,3,0.00%,2.15,-1.15,0.47
Matt Freese,23,7,13,17.39%,7.91,-0.91,0.89
Eloy Room,47,14,33,23.40%,14.67,-0.67,0.95
David Ousted,56,20,34,21.43%,20.36,-0.36,0.98
Jesse González,128,42,84,11.72%,42.27,-0.27,0.99
Ryan Meara,5,1,4,40.00%,1.23,-0.23,0.82
Vito Mannone,175,43,129,10.86%,43.20,-0.20,1.00
Zack Steffen,56,17,39,23.21%,17.17,-0.17,0.99
Clément Diop,7,1,6,0.00%,1.16,-0.16,0.86
Daniel Vega,164,53,108,12.20%,53.13,-0.13,1.00
Greg Ranjitsingh,7,3,4,42.86%,3.10,-0.10,0.97
Sean Johnson,116,35,78,10.34%,35.05,-0.05,1.00
Jimmy Maurer,12,4,8,8.33%,3.89,0.11,1.03
Chris Seitz,3,1,2,0.00%,0.86,0.14,1.16
Alex Bono,28,11,16,14.29%,10.74,0.26,1.02
Pablo Sisniega,26,8,17,15.38%,7.69,0.31,1.04
Brad Stuver,14,4,10,14.29%,3.60,0.40,1.11
Matt Lampson,7,4,3,28.57%,3.56,0.44,1.12
Maxime Crépeau,159,44,114,13.21%,43.53,0.47,1.01
Tim Howard,117,41,73,15.38%,40.49,0.51,1.01
Joe Bendik,27,12,14,11.11%,11.22,0.78,1.07
Jeff Attinella,64,24,40,18.75%,23.16,0.84,1.04
Brian Rowe,160,47,110,15.00%,46.14,0.86,1.02
Quentin Westberg,115,39,75,14.78%,38.02,0.98,1.03
Nick Rimando,113,34,75,12.39%,32.58,1.42,1.04
Jon Kempin,8,4,4,12.50%,2.52,1.48,1.59
Tim Melia,173,60,111,16.76%,58.40,1.60,1.03
Brad Knighton,29,13,16,10.34%,11.07,1.93,1.17
Luis Robles,138,48,88,15.94%,45.85,2.15,1.05
Cody Cropper,49,17,29,18.37%,14.55,2.45,1.17
Eric Dick,9,6,3,0.00%,3.52,2.48,1.70
Kenneth Kronholm,87,27,58,10.34%,24.38,2.62,1.11
Brad Guzan,135,41,91,16.30%,38.21,2.79,1.07
Tyler Deric,36,15,19,19.44%,12.13,2.87,1.24
Joe Willis,133,44,88,12.03%,40.97,3.03,1.07
Spencer Richey,106,44,61,12.26%,38.64,5.36,1.14
Przemyslaw Tyton,62,30,32,20.97%,23.92,6.08,1.25
Evan Bush,144,58,84,13.19%,49.68,8.32,1.17
Andre Blake,103,40,59,14.56%,29.58,10.42,1.35