Team,PassF,PctF,xPctF,ScoreF,Per100F,VertF,PassA,PctA,xPctA,ScoreA,Per100A,VertA,ScoreDiff,VertDiff
LAFC,19165,83.41%,81.84%,299.97,1.57,5.46,14402.00,0.7611,0.7746,-193.68,-1.34,7.87,493.65,-2.41
TOR,19395,83.70%,81.30%,465.12,2.40,5.40,16291.00,0.806,0.7964,155.47,0.95,6.42,309.65,-1.02
PHI,17835,80.45%,79.10%,240.73,1.35,6.17,15962.00,0.7861,0.789,-47.51,-0.30,6.94,288.23,-0.77
NYC,18638,80.17%,79.78%,72.91,0.39,6.50,13884.00,0.7324,0.7461,-189.72,-1.37,8.77,262.63,-2.27
LAG,16751,80.76%,78.01%,461.19,2.75,6.79,16720.00,0.8109,0.7954,259.26,1.55,6.61,201.92,0.18
SJE,18435,82.51%,81.22%,237.70,1.29,5.46,13344.00,0.7639,0.7607,43.20,0.32,8.21,194.50,-2.75
CHI,16423,78.98%,78.21%,126.00,0.77,6.76,17348.00,0.7999,0.7976,40.49,0.23,6.54,85.51,0.22
SKC,17284,81.43%,80.62%,139.23,0.81,5.84,15657.00,0.7968,0.7925,68.18,0.44,6.90,71.06,-1.06
FCD,18130,83.19%,82.08%,200.79,1.11,5.13,15706.00,0.8066,0.7967,156.55,1.00,6.27,44.24,-1.14
NYRB,14676,67.36%,69.72%,-346.60,-2.36,10.08,16695.00,0.7291,0.7524,-389.60,-2.33,8.55,43.00,1.53
RSL,16222,79.79%,79.30%,78.82,0.49,6.75,16464.00,0.7906,0.7883,37.93,0.23,6.64,40.89,0.11
ATL,18220,80.97%,80.82%,27.06,0.15,5.74,14570.00,0.7748,0.7756,-10.93,-0.08,7.88,38.00,-2.14
POR,16938,79.60%,78.31%,218.58,1.29,6.99,16986.00,0.8011,0.7882,219.61,1.29,7.11,-1.03,-0.12
CLB,16674,78.76%,78.87%,-18.41,-0.11,6.90,17259.00,0.7963,0.7949,23.26,0.13,6.45,-41.67,0.45
NER,14680,75.00%,74.66%,49.77,0.34,9.05,17875.00,0.7875,0.782,97.74,0.55,7.17,-47.97,1.87
MTL,16918,79.89%,80.07%,-29.50,-0.17,6.24,17653.00,0.8082,0.8057,44.65,0.25,5.94,-74.15,0.30
SEA,17517,80.15%,79.40%,130.31,0.74,6.07,17189.00,0.8088,0.7961,218.43,1.27,6.01,-88.12,0.06
CIN,15193,77.01%,77.81%,-121.67,-0.80,7.53,17585.00,0.7925,0.7904,36.51,0.21,6.39,-158.17,1.14
MIN,15245,77.08%,77.00%,12.81,0.08,7.81,18978.00,0.812,0.8009,210.25,1.11,6.02,-197.43,1.79
HOU,15407,79.77%,79.01%,116.93,0.76,6.79,17491.00,0.8249,0.8069,316.31,1.81,5.96,-199.37,0.82
ORL,16039,78.61%,78.45%,25.07,0.16,7.13,17534.00,0.8065,0.7929,238.62,1.36,6.30,-213.56,0.83
DCU,16107,78.20%,78.32%,-19.50,-0.12,6.93,17685.00,0.7959,0.7844,203.71,1.15,6.14,-223.22,0.80
COL,13360,75.34%,74.90%,58.73,0.44,8.81,18594.00,0.8171,0.8018,283.98,1.53,6.01,-225.25,2.80
VAN,15781,79.51%,79.58%,-10.93,-0.07,7.00,19161.00,0.8273,0.7964,592.41,3.09,5.48,-603.34,1.52