Player,Pass%,xPass%,Score,Per100,Distance,Vertical,Touch%
Foster Langsdorf,60.00%,56.81%,0.16,3.19,10.63,1.70,1.09%
James Sands,86.51%,86.50%,0.15,0.02,20.76,5.81,8.68%
Shandon Hopeau,84.62%,83.51%,0.14,1.11,12.83,-4.50,2.15%
Mo Adams,84.08%,84.04%,0.14,0.05,17.05,4.33,4.59%
Francis Atuahene,100.00%,95.43%,0.14,4.57,10.94,-6.94,2.47%
Kevin Kratz,100.00%,94.03%,0.12,5.97,17.78,8.97,0.64%
Sebastián Saucedo,77.26%,77.24%,0.10,0.02,21.00,2.48,5.47%
Cristian Martínez,73.17%,72.97%,0.08,0.20,19.24,2.92,1.79%
Matt Freese,58.02%,57.96%,0.07,0.06,43.50,37.51,15.46%
Jaylin Lindsey,84.62%,84.44%,0.07,0.18,22.31,1.30,10.29%
Michee Ngalina,100.00%,95.58%,0.04,4.42,9.45,-9.32,0.19%
Daniel Bedoya,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00%
Juan Pablo Torres,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00%
Robin Lod,81.37%,81.41%,-0.08,-0.04,16.29,1.77,4.96%
Zachary Brault-Guillard,74.57%,74.59%,-0.10,-0.02,19.45,4.56,8.45%
Johan Blomberg,74.29%,74.57%,-0.10,-0.28,13.89,1.85,3.66%
Juninho Pereira,93.33%,94.35%,-0.15,-1.02,13.49,-5.19,1.04%
Derrick Jones,85.71%,86.93%,-0.17,-1.21,11.55,2.05,2.88%
José Bizama,75.00%,75.13%,-0.24,-0.13,18.48,3.26,9.74%
Joe Gyau,83.22%,83.43%,-0.30,-0.20,14.31,-1.66,5.56%
Emil Cuello,75.81%,76.30%,-0.31,-0.49,19.02,3.07,2.32%
Wilfried Moimbé,66.12%,66.37%,-0.31,-0.26,21.77,10.46,8.68%
Ayo Akinola,85.48%,86.01%,-0.33,-0.53,15.74,-3.59,1.78%
Harry Shipp,81.59%,81.63%,-0.34,-0.05,16.94,3.25,5.53%
Eric Dick,68.97%,70.24%,-0.37,-1.27,40.63,34.15,23.70%
Luis Argudo,82.14%,82.23%,-0.37,-0.09,17.00,0.90,5.18%
Ethan Zubak,62.50%,67.72%,-0.42,-5.22,18.48,9.52,1.19%
Brian Wright,33.33%,48.67%,-0.46,-15.34,12.26,5.48,0.49%
Doneil Henry,81.83%,81.88%,-0.47,-0.05,23.88,10.77,8.80%
Clément Bayiha,75.27%,75.59%,-0.58,-0.32,13.02,-0.39,4.05%
Mohamed El-Munir,79.39%,79.52%,-0.60,-0.13,17.17,4.45,5.63%
Georges Mukumbilwa,33.33%,53.91%,-0.62,-20.58,19.31,0.96,0.66%
Luke Mulholland,66.67%,72.47%,-0.70,-5.80,22.87,17.44,2.92%
Favio Álvarez,82.16%,82.27%,-0.73,-0.11,16.30,2.78,7.81%
Víctor Rodríguez,74.70%,74.83%,-0.73,-0.13,15.63,2.58,7.06%
Sam Nicholson,67.72%,67.86%,-0.74,-0.15,16.30,1.78,5.88%
Kevin Partida,66.67%,91.78%,-0.75,-25.12,23.11,-22.46,0.80%
Zoltán Stieber,79.17%,79.73%,-0.82,-0.57,16.90,1.06,3.15%
Ricardo Clark,81.77%,82.25%,-0.91,-0.48,18.54,5.89,6.53%
Griffin Dorsey,0.00%,94.45%,-0.94,-94.45,26.65,-2.99,0.17%
Fabian Herbers,80.66%,80.97%,-1.01,-0.30,15.28,0.30,4.18%
Joe Bendik,71.86%,72.47%,-1.03,-0.62,39.81,31.23,13.59%
Nazmi Albadawi,66.67%,83.89%,-1.03,-17.23,13.79,-4.33,1.85%
Rodolfo Zelaya,66.67%,70.66%,-1.08,-3.99,17.80,1.46,1.97%
Andrew Carleton,62.86%,65.99%,-1.10,-3.14,21.22,5.09,2.14%
Griffin Yow,75.00%,88.81%,-1.10,-13.81,14.93,-7.39,2.44%
Ballou Tabla,77.97%,79.90%,-1.14,-1.94,16.67,0.84,3.00%
Michaell Chirinos,83.33%,84.10%,-1.16,-0.77,17.07,-1.31,5.23%
Mathieu Choinière,81.97%,82.48%,-1.18,-0.51,15.86,0.87,3.53%
Fabinho,72.50%,75.45%,-1.18,-2.95,14.84,4.15,10.00%
Josué Colmán,77.00%,78.19%,-1.19,-1.19,21.39,3.73,2.62%
Ema Twumasi,73.33%,81.28%,-1.19,-7.94,18.47,-0.18,1.74%
Donovan Pines,79.94%,80.31%,-1.22,-0.37,20.94,6.54,7.61%
Gilbert Fuentes,50.00%,81.02%,-1.24,-31.02,19.18,5.32,0.96%
Carlos Gruezo,88.37%,88.59%,-1.26,-0.22,19.40,1.99,10.50%
Jesse González,82.56%,82.68%,-1.27,-0.12,32.82,21.53,13.56%
Yordy Reyna,76.97%,77.16%,-1.32,-0.20,17.89,2.16,7.00%
Erik Holt,77.46%,78.40%,-1.33,-0.94,24.37,10.80,7.36%
Grant Lillard,76.29%,77.75%,-1.42,-1.46,24.49,10.43,6.71%
Thomas Roberts,78.26%,79.87%,-1.48,-1.61,19.16,3.80,3.62%
Christian Ramirez,79.79%,80.19%,-1.52,-0.40,14.78,1.23,3.26%
Derek Cornelius,81.87%,82.10%,-1.56,-0.23,23.63,9.06,9.27%
Carlos Fierro,70.11%,72.06%,-1.69,-1.94,16.81,2.85,2.52%
Adrien Pérez,73.47%,75.20%,-1.70,-1.73,15.75,-0.92,1.60%
Fatai Alashe,81.62%,82.87%,-1.71,-1.26,16.00,3.72,3.42%
Ryan Meara,36.67%,42.62%,-1.79,-5.95,62.99,59.24,9.70%
Youness Mokhtar,70.49%,71.48%,-1.80,-0.98,22.82,6.30,5.47%
Henry Wingo,77.63%,80.02%,-1.82,-2.39,16.40,-0.49,3.06%
Daniel Vega,74.64%,74.80%,-1.83,-0.15,36.88,25.79,17.52%
Juan David Cabezas,81.53%,82.28%,-1.87,-0.75,19.91,5.35,4.58%
Niki Jackson,58.33%,74.00%,-1.88,-15.66,18.40,3.40,1.02%
Emanuel Cecchini,86.81%,88.90%,-1.89,-2.08,18.31,2.07,4.02%
Kofi Opare,83.49%,85.26%,-1.93,-1.77,19.23,6.31,7.50%
Benny Feilhaber,83.14%,83.37%,-1.97,-0.22,19.40,3.22,7.02%
Sean Davis,76.10%,76.23%,-2.13,-0.14,17.62,7.99,10.99%
Mauricio Pereyra,75.89%,76.74%,-2.15,-0.85,20.04,6.40,8.46%
Tosaint Ricketts,78.65%,81.09%,-2.17,-2.44,15.41,-3.30,3.06%
Rasmus Schüller,82.11%,82.58%,-2.19,-0.47,17.77,2.65,6.78%
Nicolas Benezet,79.51%,80.43%,-2.25,-0.92,16.30,2.39,6.16%
Vito Mannone,63.26%,63.47%,-2.26,-0.21,43.49,37.29,14.54%
Romain Alessandrini,70.10%,71.27%,-2.27,-1.17,17.40,1.44,7.46%
DeJuan Jones,75.09%,75.51%,-2.27,-0.42,17.35,4.57,6.69%
Jordy Delem,81.92%,82.24%,-2.36,-0.32,18.71,6.53,6.60%
Luis Díaz,64.58%,65.84%,-2.41,-1.25,18.19,1.26,4.04%
Tate Schmitt,69.70%,77.27%,-2.50,-7.57,14.19,-0.28,1.77%
Aaron Long,64.49%,64.77%,-2.50,-0.28,22.97,14.94,8.47%
Brian Rowe,62.46%,62.73%,-2.52,-0.27,47.17,40.34,14.91%
Harry Novillo,72.62%,74.13%,-2.54,-1.51,20.93,1.29,3.69%
Brett Levis,75.69%,77.48%,-2.57,-1.78,18.77,4.20,4.45%
Marco Farfan,71.60%,74.93%,-2.69,-3.32,17.45,5.19,7.24%
Caleb Stanko,84.29%,84.69%,-2.77,-0.41,19.97,4.34,6.31%
Cristian Higuita,85.94%,86.59%,-2.82,-0.65,17.61,1.49,9.84%
Scott Caldwell,81.45%,81.97%,-2.84,-0.53,19.22,6.22,6.52%
Miguel Ibarra,77.80%,78.26%,-2.84,-0.46,16.97,1.61,5.90%
Jon Kempin,62.37%,65.56%,-2.97,-3.19,42.73,35.13,12.22%
Pablo Sisniega,73.94%,75.75%,-2.98,-1.81,32.94,25.06,8.79%
Clément Diop,58.62%,63.82%,-3.01,-5.20,41.73,35.46,15.55%
Victor Giro,81.62%,82.44%,-3.03,-0.82,16.02,1.53,4.44%
Mathias Jørgensen,63.16%,79.12%,-3.03,-15.96,14.26,-2.20,1.21%
David Accam,73.00%,74.29%,-3.08,-1.30,15.38,0.65,3.21%
Nemanja Nikolic,81.55%,82.20%,-3.10,-0.65,14.68,-3.07,3.63%
Andrew Wooten,74.71%,78.35%,-3.17,-3.64,12.86,-1.32,2.89%
Chris Seitz,40.00%,56.09%,-3.22,-16.09,49.10,40.76,13.17%
Zdenek Ondrasek,78.44%,80.39%,-3.25,-1.95,14.68,-2.27,2.39%
Marcelo Silva,82.30%,82.88%,-3.36,-0.58,22.16,7.75,7.25%
Cristian Penilla,71.20%,71.69%,-3.37,-0.48,19.00,3.12,6.03%
Luis Silva,82.35%,88.99%,-3.39,-6.64,16.22,-0.04,2.35%
Wilfried Zahibo,77.90%,78.31%,-3.39,-0.41,20.19,8.81,7.20%
Eric Calvillo,76.74%,84.66%,-3.40,-7.91,18.68,-2.05,3.31%
Lawrence Olum,81.27%,82.48%,-3.40,-1.20,18.83,5.98,6.67%
Jacob Shaffelburg,58.70%,60.59%,-3.48,-1.89,17.64,-1.20,4.33%
Niko Hämäläinen,76.12%,81.39%,-3.53,-5.27,16.99,1.81,4.05%
Jozy Altidore,76.76%,77.50%,-3.56,-0.74,16.56,1.10,4.86%
Florian Valot,68.42%,74.67%,-3.56,-6.25,15.88,5.64,7.59%
Edwin Gyasi,60.00%,74.39%,-3.60,-14.39,18.35,-2.39,1.92%
Justin Dhillon,65.22%,73.05%,-3.61,-7.84,15.74,-1.08,2.46%
Warren Creavalle,78.52%,80.95%,-3.62,-2.43,18.04,4.27,2.69%
Forrest Lasso,73.10%,74.97%,-3.70,-1.88,25.90,12.50,8.91%
Erickson Gallardo,64.63%,69.21%,-3.75,-4.58,15.69,1.66,3.61%
Danny Leyva,85.21%,86.68%,-3.78,-1.47,19.29,4.59,7.48%
Bojan Krkić,79.65%,81.29%,-3.78,-1.64,17.00,2.84,6.82%
Ronaldo Peña,77.08%,85.03%,-3.82,-7.95,13.40,-2.00,3.01%
Eryk Williamson,80.58%,84.36%,-3.89,-3.78,16.55,2.83,4.11%
Zack Steffen,73.41%,74.38%,-3.97,-0.97,37.42,29.18,13.90%
Pablo Aránguiz,77.56%,78.85%,-4.02,-1.29,18.62,3.65,5.14%
Abdul Rwatubyaye,80.70%,84.29%,-4.09,-3.59,22.33,8.48,10.03%
Santiago Patiño,71.11%,80.41%,-4.18,-9.30,15.27,-1.97,1.87%
Jeremiah Gutjahr,71.28%,72.77%,-4.22,-1.50,19.37,7.34,6.54%
Michael Barrios,70.10%,70.51%,-4.34,-0.41,18.38,-1.38,7.00%
Romell Quioto,64.44%,65.67%,-4.42,-1.23,21.96,1.49,4.76%
Diego Campos,68.50%,70.29%,-4.54,-1.79,21.49,5.37,5.33%
Ken Krolicki,86.27%,88.08%,-4.61,-1.81,16.94,0.17,5.09%
Mikey Ambrose,72.35%,75.09%,-4.66,-2.74,17.03,3.97,8.63%
Andrew Putna,50.57%,53.28%,-4.71,-2.71,49.83,45.61,15.82%
Abu Danladi,71.43%,73.77%,-4.76,-2.35,15.96,0.56,2.59%
Brian Rodríguez,75.27%,77.85%,-4.79,-2.58,16.76,-3.42,5.24%
Carter Manley,60.00%,70.81%,-4.86,-10.81,19.84,9.88,11.15%
Lucas Melano,62.79%,74.24%,-4.92,-11.45,15.97,-2.21,1.64%
Nick Besler,80.17%,81.56%,-5.07,-1.40,21.07,6.37,5.18%
Dom Dwyer,72.37%,74.68%,-5.27,-2.31,15.79,0.15,3.02%
Andy Rose,81.69%,82.28%,-5.33,-0.59,20.91,6.15,7.91%
Douglas Martínez,62.50%,84.84%,-5.36,-22.34,13.11,-3.63,6.27%
Jeff Larentowicz,84.20%,84.92%,-5.46,-0.71,19.14,3.64,5.37%
Will Bruin,68.37%,74.00%,-5.52,-5.63,12.39,-0.68,2.70%
Kellyn Acosta,80.65%,81.21%,-5.58,-0.55,18.59,4.49,8.21%
Jalen Robinson,74.19%,78.77%,-5.68,-4.58,19.75,6.44,3.44%
Marcus Epps,61.40%,71.50%,-5.76,-10.10,13.07,2.07,4.38%
Federico Higuaín,77.86%,78.57%,-5.82,-0.71,20.72,5.03,9.80%
Danny Wilson,73.59%,74.73%,-5.87,-1.14,24.34,10.55,7.11%
Omir Fernandez,75.16%,78.90%,-5.87,-3.74,11.98,0.48,2.72%
Romario Williams,59.52%,73.61%,-5.91,-14.08,15.31,1.12,1.92%
Maxime Crépeau,71.58%,72.21%,-5.97,-0.63,41.04,30.36,16.33%
Alex Bono,67.88%,71.69%,-6.28,-3.81,38.11,30.25,14.12%
Justin Rennicks,62.96%,86.26%,-6.29,-23.30,11.76,-0.11,3.94%
Ola Kamara,67.12%,75.77%,-6.31,-8.64,14.76,0.67,3.37%
Efrain Álvarez,72.39%,74.81%,-6.50,-2.42,20.65,5.00,3.98%
Terrence Boyd,69.57%,76.86%,-6.71,-7.29,13.80,-2.66,1.96%
Gary Mackay-Steven,72.93%,76.65%,-6.73,-3.72,16.68,0.30,3.34%
Victor Ulloa,82.22%,82.81%,-6.86,-0.59,18.97,4.11,9.02%
Saphir Taïder,81.47%,81.84%,-6.88,-0.37,22.53,1.88,11.44%
Marlon Hairston,73.48%,78.79%,-7.01,-5.31,14.26,-2.60,2.75%
Adam Lundkvist,73.82%,74.32%,-7.02,-0.49,20.94,2.78,10.25%
Dairon Asprilla,72.51%,76.63%,-7.03,-4.11,18.24,-0.61,3.85%
Alexander Ring,83.14%,83.48%,-7.05,-0.34,21.98,6.89,11.80%
Diego Valeri,71.72%,72.15%,-7.12,-0.43,20.77,3.17,10.10%
Quincy Amarikwa,62.62%,69.36%,-7.21,-6.74,13.86,2.39,1.69%
Dániel Sallói,76.89%,78.51%,-7.29,-1.62,16.40,0.33,4.09%
Erik Hurtado,79.64%,84.01%,-7.30,-4.37,14.54,-3.04,4.07%
Eloy Room,67.93%,69.69%,-7.39,-1.76,40.43,31.61,15.87%
David Guzmán,81.50%,82.34%,-7.41,-0.84,22.23,5.33,8.95%
Tommy McNamara,76.22%,77.53%,-7.50,-1.31,18.09,2.74,3.86%
Chris Mueller,73.38%,74.52%,-7.55,-1.13,16.99,1.55,5.54%
Shane O'Neill,70.37%,72.26%,-7.64,-1.89,22.72,10.61,8.36%
Ismael Tajouri-Shradi,79.86%,81.66%,-7.84,-1.79,16.51,0.79,4.50%
Sebastian Anderson,57.58%,63.54%,-7.87,-5.96,19.60,8.15,5.94%
Dion Pereira,74.71%,77.76%,-7.96,-3.05,17.04,-1.15,3.26%
Leonardo Jara,77.83%,78.48%,-8.06,-0.65,19.29,3.82,8.79%
Bill Hamid,62.80%,63.74%,-8.16,-0.94,43.76,37.27,13.18%
Lass Bangoura,75.72%,79.12%,-8.27,-3.40,16.65,2.35,3.66%
Andreas Ivan,57.99%,62.93%,-8.36,-4.94,19.87,5.75,4.00%
Samuel Piette,84.14%,84.76%,-8.41,-0.62,22.58,5.03,10.32%
Kenny Saief,72.83%,76.25%,-8.68,-3.42,18.90,2.25,7.35%
Tomás Conechny,76.27%,79.97%,-8.72,-3.70,17.27,2.54,2.98%
Brandon Servania,83.36%,84.88%,-8.92,-1.52,18.49,4.35,6.43%
Evan Bush,67.82%,68.78%,-9.21,-0.96,40.42,31.70,16.81%
João Moutinho,71.46%,72.59%,-9.29,-1.12,18.92,5.77,9.93%
Jordan Morris,75.36%,76.70%,-9.30,-1.34,16.52,0.33,5.43%
Jonathan Lewis,70.33%,73.46%,-9.37,-3.12,16.54,-0.25,3.85%
Jacori Hayes,85.95%,87.69%,-9.56,-1.75,17.39,2.27,5.98%
Joe Willis,65.18%,66.41%,-9.67,-1.23,43.09,35.02,17.27%
Romario Ibarra,64.20%,76.14%,-9.68,-11.95,14.35,1.49,2.93%
Omar Browne,70.20%,74.25%,-9.92,-4.05,18.86,3.06,6.14%
Danilo Acosta,70.41%,73.40%,-10.10,-2.99,19.31,4.91,9.22%
Zlatan Ibrahimovic,71.00%,72.04%,-10.12,-1.04,16.23,3.35,8.04%
Spencer Richey,66.97%,68.51%,-10.25,-1.54,41.25,32.59,17.92%
Cory Burke,55.56%,66.96%,-10.27,-11.41,16.13,1.76,4.21%
Brooks Lennon,72.78%,73.92%,-10.30,-1.14,22.05,5.38,7.20%
Raúl Ruidíaz,84.62%,87.05%,-10.44,-2.43,16.26,-1.93,4.91%
Kemar Lawrence,68.44%,69.63%,-10.46,-1.19,18.90,7.71,8.85%
Fanendo Adi,71.60%,78.09%,-10.50,-6.48,13.71,-1.49,4.18%
Handwalla Bwana,66.82%,71.87%,-10.64,-5.04,15.98,-0.25,3.62%
Juan Fernando Caicedo,75.59%,79.84%,-10.78,-4.25,14.22,-2.75,2.60%
Alexandru Mitrita,71.84%,73.16%,-10.81,-1.31,17.37,4.66,6.41%
Maximiliano Moralez,75.69%,76.33%,-10.82,-0.65,20.52,4.34,10.30%
Kyle Duncan,65.59%,67.46%,-10.98,-1.87,18.48,10.71,11.30%
Robinho,77.94%,80.21%,-11.03,-2.28,14.67,-1.39,5.39%
Memo Rodríguez,68.73%,70.74%,-11.09,-2.02,20.09,2.37,5.45%
Tom Barlow,60.83%,70.23%,-11.28,-9.40,11.87,0.07,2.89%
Alberth Elis,69.60%,71.60%,-11.39,-2.00,14.78,0.91,6.86%
Lassi Lappalainen,75.91%,81.11%,-11.44,-5.20,14.52,0.43,5.13%
Brandon Vázquez,74.55%,81.54%,-11.54,-6.99,14.83,-2.78,3.84%
Zac MacMath,69.87%,73.57%,-11.54,-3.70,39.36,29.40,13.88%
Mauro Manotas,78.48%,80.20%,-11.56,-1.73,14.87,0.12,5.53%
Ignacio Piatti,75.31%,80.08%,-11.60,-4.77,18.86,1.27,6.10%
Damir Kreilach,79.96%,80.72%,-11.71,-0.76,18.43,2.33,9.86%
Nicolás Mezquida,73.37%,75.24%,-11.74,-1.87,18.93,2.94,5.60%
Santiago Mosquera,72.19%,74.38%,-11.89,-2.19,20.27,3.20,5.04%
Josh Sims,66.84%,73.13%,-11.94,-6.29,15.01,-0.22,7.49%
Dominique Badji,75.96%,78.38%,-11.97,-2.42,16.20,-1.34,4.22%
Anthony Jackson-Hamel,67.81%,76.01%,-11.98,-8.21,15.67,-0.65,2.34%
Gerso,68.70%,71.31%,-12.01,-2.61,15.40,0.41,5.34%
Joaquín Ardáiz,59.21%,75.15%,-12.12,-15.94,13.89,-2.11,1.41%
Ethan Finlay,65.98%,68.76%,-12.16,-2.78,16.80,2.67,3.76%
Mason Toye,67.81%,76.34%,-12.46,-8.53,15.86,-2.65,2.59%
Alvas Powell,67.56%,70.16%,-12.66,-2.60,23.99,8.23,9.28%
Brian Fernández,75.79%,79.78%,-12.70,-3.99,17.23,-0.66,4.22%
Ruan,72.53%,73.92%,-13.03,-1.38,17.21,3.06,8.15%
Darren Mattocks,73.10%,77.62%,-13.08,-4.51,15.81,0.34,4.11%
Patrick Mullins,61.76%,71.51%,-13.25,-9.74,16.02,2.78,1.93%
Josef Martínez,81.02%,83.23%,-13.35,-2.20,14.72,0.06,5.04%
Cole Bassett,78.56%,81.18%,-13.47,-2.63,17.58,1.98,6.07%
Héctor Villalba,73.01%,76.49%,-13.54,-3.48,17.09,-0.69,4.37%
Roger Espinoza,74.71%,77.43%,-14.08,-2.72,19.10,4.74,6.66%
Juan Agudelo,77.96%,79.72%,-14.14,-1.76,15.70,3.25,7.66%
Joao Plata,71.03%,77.95%,-14.81,-6.92,20.13,2.47,2.55%
Chris Durkin,79.47%,83.39%,-14.87,-3.91,18.69,6.00,6.37%
Connor Lade,65.41%,68.95%,-15.03,-3.54,18.44,9.65,8.67%
Ulises Segura,76.23%,78.23%,-15.50,-2.00,14.69,1.51,5.46%
Benji Michel,65.41%,73.79%,-15.51,-8.38,16.51,1.00,3.67%
Tyler Deric,53.36%,60.32%,-15.52,-6.96,46.98,40.29,15.11%
Brenden Aaronson,76.97%,79.44%,-15.63,-2.46,15.67,0.79,5.06%
Sacha Kljestan,78.85%,80.62%,-16.03,-1.78,16.93,3.65,7.71%
Sergio Santos,63.22%,72.65%,-16.40,-9.43,15.44,1.07,2.79%
Danny Hoesen,71.93%,76.48%,-16.67,-4.54,15.68,1.85,2.99%
Vincent Bezecourt,55.48%,66.43%,-16.96,-10.94,16.12,6.34,5.25%
Diego Rubio,71.98%,74.43%,-17.01,-2.44,19.24,4.67,8.21%
Lucas Venuto,73.71%,78.35%,-17.12,-4.64,16.36,-1.49,4.16%
Orji Okwonkwo,77.84%,81.11%,-17.24,-3.27,15.31,-2.85,4.66%
Carlos Ascues,78.04%,82.09%,-17.35,-4.05,17.70,4.24,6.12%
J.J. Williams,45.16%,73.19%,-17.38,-28.02,12.15,-1.01,3.00%
Kelyn Rowe,71.43%,76.22%,-17.46,-4.80,18.87,3.64,4.31%
Michael Murillo,66.07%,67.83%,-17.70,-1.76,17.27,8.79,10.45%
Amro Tarek,58.11%,61.59%,-18.04,-3.48,24.31,16.36,6.63%
Sebastián Blanco,69.15%,70.18%,-18.12,-1.03,22.63,7.43,11.51%
Jefferson Savarino,75.80%,77.84%,-18.32,-2.03,18.95,2.22,7.98%
Angelo Rodríguez,66.37%,71.89%,-18.55,-5.52,14.32,1.51,4.01%
Cristian Espinoza,71.19%,72.56%,-19.16,-1.36,19.25,-0.42,9.32%
Kevin Molino,73.48%,77.86%,-19.49,-4.38,18.12,3.92,6.55%
Tesho Akindele,74.87%,78.23%,-19.66,-3.36,15.16,-0.70,5.09%
Adama Diomande,71.81%,77.64%,-19.66,-5.83,16.34,1.61,3.60%
Alex Muyl,67.63%,70.82%,-19.89,-3.19,16.08,4.53,6.65%
Hassani Dotson,74.01%,77.10%,-21.02,-3.09,19.29,4.83,6.83%
Chris Wondolowski,75.59%,81.30%,-21.75,-5.71,14.46,0.13,2.73%
Rashawn Dally,70.07%,86.01%,-21.84,-15.94,12.14,-3.06,3.30%
Theo Bair,62.62%,72.97%,-22.15,-10.35,15.83,0.58,3.57%
Gustavo Bou,68.84%,74.25%,-23.28,-5.41,18.35,4.26,8.25%
Fafa Picault,71.85%,75.72%,-23.32,-3.86,16.26,-1.73,4.53%
Julian Gressel,70.63%,72.19%,-23.42,-1.56,20.43,2.46,8.29%
Roland Lamah,71.88%,75.47%,-23.56,-3.58,18.56,1.35,5.63%
Carlos Vela,66.83%,68.80%,-23.92,-1.97,20.34,2.84,8.38%
Johnny Russell,64.25%,67.00%,-24.24,-2.75,22.60,1.99,7.09%
Maximiliano Urruti,78.21%,82.23%,-24.74,-4.02,17.50,0.14,5.33%
Artur,84.10%,85.70%,-25.30,-1.60,20.29,3.33,10.02%
Wayne Rooney,73.37%,75.45%,-25.49,-2.08,22.97,3.42,8.48%
Leonardo Bertone,76.80%,79.03%,-26.12,-2.24,21.73,6.28,9.55%
Jesús Ferreira,80.84%,83.74%,-26.16,-2.90,17.78,1.86,5.60%
Cristian Cásseres Jr,71.98%,75.09%,-26.81,-3.12,16.10,7.84,9.32%
Krisztián Németh,74.82%,81.26%,-26.85,-6.44,13.84,-1.10,4.03%
Corey Baird,77.91%,81.84%,-27.41,-3.93,15.16,-0.55,5.16%
Sam Johnson,67.92%,77.50%,-28.07,-9.58,14.88,-2.12,3.04%
Kekuta Manneh,73.69%,79.60%,-29.39,-5.90,15.74,-0.01,4.88%
Gyasi Zardes,71.81%,77.88%,-29.50,-6.07,12.71,-0.52,4.85%
Justin Meram,72.44%,75.90%,-29.72,-3.46,16.62,1.98,6.31%
Marc Rzatkowski,70.71%,73.09%,-30.18,-2.38,17.72,6.37,10.37%
Bradley Wright-Phillips,64.35%,73.88%,-30.20,-9.53,13.52,1.88,3.60%
Jeremy Ebobisse,71.59%,76.64%,-30.39,-5.05,17.14,1.91,4.04%
Teal Bunbury,71.80%,76.74%,-30.49,-4.94,15.10,-0.04,5.55%
Allan Cruz,70.88%,77.19%,-31.03,-6.32,16.18,2.99,5.97%
C.J. Sapong,66.83%,71.85%,-31.51,-5.03,15.15,1.32,5.30%
Brian White,61.98%,72.23%,-32.09,-10.25,12.42,-0.32,4.75%
Andre Shinyashiki,66.42%,72.55%,-33.23,-6.13,17.01,3.50,5.82%
Luis Robles,49.40%,53.60%,-34.86,-4.20,48.65,43.63,12.78%
Héber,75.05%,82.31%,-35.47,-7.25,14.80,-0.05,5.04%
Darwin Quintero,67.43%,71.34%,-35.90,-3.91,20.28,7.75,8.08%
Daniel Lovitz,72.39%,74.69%,-35.96,-2.30,20.71,5.45,10.88%
Valentín Castellanos,65.80%,73.03%,-39.12,-7.23,14.97,1.03,4.61%
Emmanuel Ledesma,62.54%,68.25%,-40.14,-5.72,22.44,4.91,6.75%
Paul Arriola,70.86%,74.75%,-40.86,-3.89,16.10,2.65,8.17%
Daniel Royer,66.63%,71.56%,-41.10,-4.93,14.18,3.48,6.86%
Luciano Acosta,74.18%,77.24%,-41.22,-3.06,17.99,5.36,9.78%
Kei Kamara,69.40%,74.96%,-42.72,-5.56,14.84,0.59,8.26%
Fredy Montero,66.67%,72.94%,-43.49,-6.28,20.04,4.48,5.53%
Alejandro Romero Gamarra,66.98%,70.70%,-46.88,-3.72,19.09,6.41,9.75%
Nicolás Lodeiro,73.12%,75.38%,-48.89,-2.26,20.41,4.43,14.40%
Kacper Przybylko,72.82%,79.03%,-51.23,-6.22,14.61,-1.58,6.87%
Nicolás Gaitán,64.03%,69.81%,-59.93,-5.78,22.33,6.30,8.08%
Pity Martínez,67.23%,73.11%,-72.84,-5.88,20.45,4.68,8.00%
Pedro Santos,62.54%,68.51%,-76.18,-5.97,21.48,5.05,9.08%